IMPRESA,INDIRIZZO,COMUNE,CATEGORIA,SOTTOCATEGORIA,POSIZIONE,CODICE,DENOMINAZIONE URBANISTICA GENERICA,DENOMINAZIONE UFFICIALE,LOCALITA’,NUMERO CIVICO,ESPONENTE,CODICE POSTALE,CODICE ASSEGNATO AI COMUNI DA ISTAT,COMUNITA’ DI VALLE,TELEFONO,E-MAIL,SITO INTERNET,LATITUDINE,LONGITUDINE,POSITION
FARMACIA ROMANI DOTT. ALBERTO ERRIGO & C. S.N.C.,"VIA GIOVANNI SEGANTINI, 1",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.14135,11.10721",17,VIA,GIOVANNI SEGANTINI,,1,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246349,,https://www.farmaciaromani.eu/,46.14135,11.10721,
FAMIGLIA COOPERATIVA KONIGSBERG SOC. COOP.,"PIAZZA GIOVANNI DELLA CROCE, 1 - PRESSANO",LAVIS,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13847,11.11211",18,PIAZZA,GIOVANNI DELLA CROCE,PRESSANO,1,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-871525,pressano@famcoopkonigsberg.it,https://www.famcoopkonigsberg.it/,46.13847,11.11211,
ABBIGLIAMENTO DANTI DI DANTI PAOLO & C. S.A.S.,"VIA GIUSEPPE MAZZINI, 9",RIVA DEL GARDA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88537,10.84171",19,VIA,GIUSEPPE MAZZINI,,9,,38066,022153,COMUNITA' ALTO GARDA E LEDRO,335 697 7594,,,45.88537,10.84171,
DELUGAN GUIDO E GINO S.N.C.,"VIA PENNELLA, 34",PERGINE VALSUGANA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.06088,11.23906",20,VIA,PENNELLA,,34,,38057,022139,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-532221,delugan@gmail.com,,46.06088,11.23906,
FRUTTA E VERDURA SPRINGHETTI GILBERTO,"PIAZZA PRATI, 27",CAVARENO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40875,11.13768",21,PIAZZA,PRATI,,27,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-830469,bottegaorto@gmail.com,https://www.facebook.com/bottegaorto/,46.40875,11.13768,
LARCHER SPORT DI ANZELINI YLENIA,"VIA MOSCABIO, 2",CAVARENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40897,11.13734",22,VIA,MOSCABIO,,2,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-090147,,,46.40897,11.13734,
BAR GELATERIA EREDI CAVALLAR DOMENICO,"VIA ROMA, 52",CAVARENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.40845,11.13752",23,VIA,ROMA,,52,,38011,022051,COMUNITA’ DELLA VAL DI NON,340 748 0370,,,46.40845,11.13752,
EDICOLA TABACCHI GENETTI ANNAMARIA,"PIAZZA ALCIDE DE GASPERI, 2",CAVARENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40955,11.13768",24,PIAZZA,ALCIDE DE GASPERI,,2,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-830311,,,46.40955,11.13768,
MERCERIE CATTARINI TIZIANA,"PIAZZA ALCIDE DE GASPERI, 5",CAVARENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40940,11.13767",25,PIAZZA,ALCIDE DE GASPERI,,5,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-830091,,,46.40940,11.13767,
BIGMAT EDILAGRARIA SRL,"VIA ROMA, 49",CAVARENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40969,11.13750",26,VIA,ROMA,,49,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-835001,edilagraria@bigmat.it,,46.40969,11.13750,
LATTERIA SOCIALE CAVARENO,"VIA MOSCABIO, 19",CAVARENO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40894,11.13582",27,VIA,MOSCABIO,,19,,38011,022051,COMUNITA’ DELLA VAL DI NON,0463-831358,info@latteriasocialecavareno.it,www.cooperazionetrentina.it/it/cooperative/latteria-sociale-cavareno-societa-cooperativa-agricola,46.40894,11.13582,
RISTORANTE AL VOLT DI LABRIOLA MICHELANGELO,"PIAZZA MUNICIPIO, 10",PERGINE VALSUGANA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.06035,11.24090",28,PIAZZA,MUNICIPIO,,10,,38057,022139,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-532737,michelangelolabriola@hotmail.it,www.ristorantepizzeriaalvolt.com,46.06035,11.24090,
RISTORANTE PIZZERIA NUOVO CORONA DI PALMIERI TOMMASO,"PIAZZA GIANNANTONIO MANCI, 2",LAVIS,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.13864,11.11400",29,PIAZZA,GIANNANTONIO MANCI,,2,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,338 594 8620 – 0461-246772 - 0461 245302,hotelcorona.lavis@alice.it,https://www.hotelcoronalavis.it/sito/,46.13864,11.11400,
BAR ALBERGO CORONA S.N.C. DI PRONER RICCARDA & C.,"PIAZZA GIANNANTONIO MANCI, 4",LAVIS,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.13856,11.11390",30,PIAZZA,GIANNANTONIO MANCI,,4,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,338 594 8620 – 0461-246772 – 0461-245302,hotelcorona.lavis@alice.it,https://www.hotelcoronalavis.it/sito/,46.13856,11.11390,
SARTORI GIUSEPPE & C. S.N.C.,"VIA CLEMENTI, 47",LAVIS,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.14083,11.10793",31,VIA,CLEMENTI,,47,,38015,022103,COMUNITA' ROTALIANA-KOENIGSBERG,0461-246583,,,46.14083,11.10793,
TORREFAZIONE CAFFE’ BONTADI,"VICOLO DEL MESSAGGERO, 10",ROVERETO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.89056,11.04454",33,VICOLO,DEL MESSAGGERO,,10,,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-421110,info@bontadi.it,https://www.bontadi.it/it/,45.89056,11.04454,
COLORIFICIO LUCIANO CARESIA DI DANIELA CARESIA,"VIA GIROLAMO TARTAROTTI, 50-A",ROVERETO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88938,11.04169",34,VIA,GIROLAMO TARTAROTTI,,50,A,38068,022161,COMUNITA' DELLA VALLAGARINA,339 576 7964,colori.caresia@alice.it,https://www.facebook.com/people/Colorificio-Caresia,45.88938,11.04169,
FARMACIA COBELLI,"VIA GIUSEPPE MAZZINI, 10",ROVERETO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.89007,11.04319",35,VIA,GIUSEPPE MAZZINI,,10,,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-421270,cobelli@lafarmacia.it,https://www.lafarmacia.it/trova-farmacia/trentino-alto-adige/trento/rovereto/farmacia-cobelli,45.89007,11.04319,
BAR MANIFATTURA,"PIAZZA MANIFATTURA, 5-6",ROVERETO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.88404,11.02125",36,PIAZZA,MANIFATTURA,,5,6,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-431745,,,45.88404,11.02125,
BAR DUE COLONNE,"PIAZZA DEL PODESTA', 9",ROVERETO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.88629,11.04555",37,PIAZZA,DEL PODESTA',,9,,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-421441,,,45.88629,11.04555,
CAPPELLERIA BACCA,"VIA RIALTO, 39",ROVERETO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88941,11.04451",40,VIA,RIALTO,,39,,38068,022161,COMUNITA' DELLA VALLAGARINA,337 106 7270 – 0464-439082,info@cappelleriabacca.it,https://cappelleriabacca.it/,45.88941,11.04451,
BAR-TRATTORIA BELLAVISTA,"VIA PAGANINI, 17",ROVERETO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.89179,11.04319",41,VIA,PAGANINI,,17,,38068,022161,COMUNITA' DELLA VALLAGARINA,389 982 5300,trattoriabellavista22@gmail.com,https://www.facebook.com/people/Trattoria-Bella-Vista,45.89179,11.04319,
DROGHERIA MICHELI,"VIA MERCERIE, 16-18",ROVERETO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88901,11.04392",42,VIA,MERCERIE,,16,18,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-421154,info@drogheriamicheli.it,https://drogheriamicheli.it/,45.88901,11.04392,
LOCOS BAR,"VIA VALBUSA GRANDE, 7",ROVERETO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.88951,11.04508",44,VIA,VALBUSA GRANDE,,7,,38068,022161,COMUNITA' DELLA VALLAGARINA,349-7296496,barlocos@gmail.com,https://www.facebook.com/barlocosrovereto,45.88951,11.04508,
FARMACIA S. MARCO,"PIAZZA ERBE, 17",ROVERETO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.88839,11.04442",45,PIAZZA,ERBE,,17,,38068,022161,COMUNITA' DELLA VALLAGARINA,0464-421060 - 342 55 53060,staff@farmaciasoave.com,https://www.facebook.com/farmaciasanmarcosoave,45.88839,11.04442,
RISTORANTE BAR ALBERGO SERRAIA,"VIALE DELLA SERRAIA, 3",BASELGA DI PINÉ,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.13475,11.24914",48,VIALE,DELLA SERRAIA,,3,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-558177,info@serraia.it,https://serraia.it/,46.13475,11.24914,
BAR TAVOLA CALDA PIZZERIA ALPINO,"CORSO ROMA, 3",BASELGA DI PINÉ,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.13205,11.24347",49,CORSO,ROMA,,3,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461 557204,,https://www.facebook.com/PizzeriaAlpinoPine,46.13205,11.24347,
RISTORANTE BAR ALBERGO VILLA ANITA,"VIA DEL FOSCH, 21",BASELGA DI PINÉ,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.13317,11.24846",50,VIA,DEL FOSCH,,21,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,,,,46.13317,11.24846,
RISTORANTE BAR CA’ DEI BOCI,"VIA DOMENICA TARGA, 2 - MONTAGNAGA",BASELGA DI PINÉ,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.09859,11.23595",51,VIA,DOMENICA TARGA,MONTAGNAGA,2,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-558322,info@postahotel1899.it,"https://www.postahotel1899.it/ristorante/",46.09859,11.23595,
HOTEL BELVEDERE WELLNESS & FAMILY,"VIA DOMENICA TARGA, 69 - MONTAGNAGA",BASELGA DI PINÉ,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.09589,11.23454",52,VIA,DOMENICA TARGA,MONTAGNAGA,69,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557750,info@familyhotelbelvedere.it,https://familyhotelbelvedere.it/,46.09589,11.23454,
SEGHERIA SIGHEL SRL,"VIA GUGLIELMO MARCONI, 11",BASELGA DI PINÉ,SETTORE NON ALIMENTARE,ARTIGIANO,"46.13048,11.24338",54,VIA,GUGLIELMO MARCONI,,11,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-558354,,,46.13048,11.24338,
MACELLERIA SIGHEL SRL,"VIA CESARE BATTISTI, 49",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13163,11.24642",55,VIA,CESARE BATTISTI,,49,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-558033,info@lineacarni.it,https://lineacarni.it/,46.13163,11.24642,
FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL,"VIALE SANT’ANNA, 37 - MONTAGNAGA",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.10024,11.23605",56,VIALE,SANT’ANNA,MONTAGNAGA,37,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,,fc.altopianopine.baselga@cooptrentina.it,https://www.cooptrentinoaltoadige.it/negozi-e-volantini/400303-montagnaga,46.10024,11.23605,
FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL,"CORSO ROMA, 9",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13208,11.24372",57,CORSO,ROMA,,9,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557245,fc.altopianopine.baselga@cooptrentina.it,https://www.cooptrentinoaltoadige.it/negozi-e-volantini/400309-baselga-di-pine,46.13208,11.24372,
FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL,"MIOLA - VIA DELLA CHIESA, 6 - 3",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.12729,11.24769",58,VIA,DELLA CHIESA,MIOLA,6,3,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557063,fc.altopianopine.baselga@cooptrentina.it,https://www.cooptrentinoaltoadige.it/le-cooperative/famiglia-cooperativa-altopiano-di-pine,46.12729,11.24769,
FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL,"PIAZZA DELLA SANTA TRINITA', 11 - FAIDA",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.10969,11.25135",59,PIAZZA,DELLA SANTA TRINITA',FAIDA,11,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-553190,fc.altopianopine.baselga@cooptrentina.it,https://www.cooptrentinoaltoadige.it/negozi-e-volantini/400302-faida,46.10969,11.25135,
FARMACIA MORELLI SRL,"VIA CESARE BATTISTI, 91",BASELGA DI PINÉ,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13354,11.24801",60,VIA,CESARE BATTISTI,,91,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557026,info@farmaciamorelli-pine.it,https://farmaciamorelli-pine.it/,46.13354,11.24801,
ORTOFRUTTA - GRAPPOTECA DI ZANEI GIUSEPPE & C. S.N.C.,"VIA CESARE BATTISTI, 86",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13345,11.24821",61,VIA,CESARE BATTISTI,,86,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557244,,,46.13345,11.24821,
CALZATURE CARLIN MARCO SNC,"VIA PERGINE, 14 - MONTAGNAGA",BASELGA DI PINÉ,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.09853,11.23609",62,VIA,PERGINE,MONTAGNAGA,14,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557761,calzaturecarlin@virgilio.it,https://www.calzaturecarlin.com/,46.09853,11.23609,
RIVENDITA TABACCHI N. 5 DI BROSEGHINI CATERINA,"VIA CESARE BATTISTI, 121",BASELGA DI PINÉ,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13459,11.24890",63,VIA,CESARE BATTISTI,,121,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-558085,,,46.13459,11.24890,
MAMI HOME SNC DI DALLAPICCOLA MARTINA & C.,"CORSO ROMA, 2",BASELGA DI PINÉ,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13207,11.24393",65,CORSO,ROMA,,2,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557992,,www.mamihomeshop.com,46.13207,11.24393,
PANIFICIO ANESI DI ANESI ALESSANDRO & C.,"CORSO ROMA, 77",BASELGA DI PINÉ,SETTORE ALIMENTARE,ARTIGIANO,"46.13409,11.24703",67,CORSO,ROMA,,77,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557103,,,46.13409,11.24703,
MACELLERIA FRANCESCHI ANDREA E C. SNC,"CORSO ROMA, 34",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13314,11.24579",68,CORSO,ROMA,,34,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,0461-557011,,,46.13314,11.24579,
ORTOFRUTTA ALIMENTARI RAVANELLI ANDREA,"CORSO ROMA, 47",BASELGA DI PINÉ,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.13374,11.24614",69,CORSO,ROMA,,47,,38042,022009,COMUNITA' ALTA VALSUGANA E BERSNTOL,,,,46.13374,11.24614,
COLTELLERIA S. MARCO F.LLI VALENTINI SNC,"PIAZZETTA AGOSTINIANI, 1",TRENTO,SETTORE NON ALIMENTARE,ARTIGIANO,"46.07026,11.12570",70,PIAZZETTA,AGOSTINIANI,,1,,38122,022205,TERRITORIO VAL D'ADIGE,0461-235035,info@coltelleriasanmarco.it,https://www.coltelleriasanmarco.it/,46.07026,11.12570,
ANTICA TRATTORIA AL VOLT DI DANIELA CARESIA,"VIA SANTA CROCE, 16",TRENTO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.06451,11.12323",71,VIA,SANTA CROCE,,16,,38122,022205,TERRITORIO VAL D'ADIGE,0461-983776,,https://it-it.facebook.com/alvolt/,46.06451,11.12323,
NATURERBE S.N.C.,"PIAZZA FIERA, 7",TRENTO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.06492,11.12385",72,PIAZZA,FIERA,,7,,38122,022205,TERRITORIO VAL D'ADIGE,0461-261027,,,46.06492,11.12385,
LA CANTINOTA RISTORANTE,"VIA SAN MARCO, 22",TRENTO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.07013,11.12496",73,VIA,SAN MARCO,,22,,38122,022205,TERRITORIO VAL D'ADIGE,0461-238527 - 348 035 3857 - 347 773 3998 - 342 054 9831,cantinota@hotmail.it - info@cantinotatrento.it,https://cantinotatrento.it/,46.07013,11.12496,
OSTERIA COE DI PLOTEGHER CHRISTIAN,"VIA CADUTI MALGA ZONTA, 7 - PASSO COE",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.87629,11.21803",74,VIA,CADUTI MALGA ZONTA,PASSO COE,7,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-720384,info@osteriacoe.it,https://www.osteriacoe.it/,45.87629,11.21803,
JOHN CLUB SAS DI GENNARI ANGELA & C.,"VIA EMILIO COLPI, 52",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91482,11.17373",75,VIA,EMILIO COLPI,,52,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,380 414 2489,,,45.91482,11.17373,
RISTORANTE BAR HOTEL MARTINELLA DI DORAGEST SAS,"VIA MARTINELLA, 53 - SERRADA",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.89083,11.15659",76,VIA,MARTINELLA,SERRADA,53,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-727129,martinella@mhhotels.eu,https://www.mhhotels.eu/it/hotel-martinella/,45.89083,11.15659,
HOTEL FOUR SEASONS DI BELMONTE SRL,"VIA EMILIO COLPI, 108",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91458,11.17527",77,VIA,EMILIO COLPI,,108,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721136,info@hotelfourseasons.it,https://www.hotelfourseasons.it/sito/hotel-fourseasons,45.91458,11.17527,
CASALINGHI MARTINO S.A.S. DI PERGHER GELMI BRUNA E FIGLI,"VIA EMILIO COLPI, 131",FOLGARIA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91531,11.17297",78,VIA,EMILIO COLPI,,131,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721206,,,45.91531,11.17297,
RISTORANTE ALBERGO MILANO DI CAPPELLETTI PAOLA,"VIA LUIGI CADORNA, 27",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91432,11.17926",79,VIA,LUIGI CADORNA,,27,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-721256,info@hotelmilano-folgaria.it,https://www.hotelmilano-folgaria.it/,45.91432,11.17926,
BAR PASTICCERIA DALSASS DI CUEL SILVANA & C. SNC,"VIA EMILIO COLPI, 61",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91545,11.17272",80,VIA,EMILIO COLPI,,61,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-720306,,,45.91545,11.17272,
BAR CENTRALE DI CANALIA LUISA,"VIA PASUBIO, 26 - SERRADA",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.89082,11.15407",81,VIA,PASUBIO,SERRADA,26,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-727128,,,45.89082,11.15407,
PIZZERIA SCOIATTOLO CENTER SERVICE DI COROTTI GIANCARLO & C. SAS,"VIA EMILIO COLPI, 233",FOLGARIA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"45.91485,11.17444",82,VIA,EMILIO COLPI,,233,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,0464-723153 – 389 188 6644,pizzeriascoiattolo@gmail.com,https://www.pizzeriascoiattolo.it/,45.91485,11.17444,
ORTOFRUTTA GASPEROTTI FULVIO,"VIA EMILIO COLPI, 127",FOLGARIA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"45.91538,11.17286",83,VIA,EMILIO COLPI,,127,,38064,022087,MAGNIFICA COMUNITA' DEGLI ALTIPIANI CIMBRI,,,,45.91538,11.17286,
